1696132801, 74, 68, 2, cool
1696132921, 74, 68, 2, cool
1696133041, 74, 68, 2, cool
1696133161, 73.5, 68, 2, cool
1696133281, 73.5, 68, 2, cool
1696133401, 73.5, 68, 2, cool
1696133521, 73.5, 68, 2, cool
1696133641, 73.5, 68, 2, cool
1696133761, 73.5, 68, 2, cool
1696133881, 73.5, 68, 2, cool
1696134001, 73.5, 68, 2, cool
1696134121, 73.5, 68, 2, cool
1696134241, 73.5, 68, 2, cool
1696134361, 73.5, 68, 2, cool
1696134481, 73.5, 68, 2, cool
1696134602, 73.5, 68, 2, cool
1696134721, 73.5, 68, 2, cool
1696134841, 73.5, 68, 2, cool
1696134961, 73.5, 68, 2, cool
1696135081, 73.5, 68, 2, cool
1696135201, 73, 68, 2, cool
1696135321, 73, 68, 2, cool
1696135441, 73, 68, 2, cool
1696135561, 73, 68, 2, cool
1696135681, 73, 68, 2, cool
1696135801, 73, 68, 2, cool
1696135921, 73, 68, 2, cool
1696136041, 73, 68, 2, cool
1696136161, 73, 68, 2, cool
1696136281, 73, 68, 2, cool
1696136401, 73, 68, 2, cool
1696136521, 73, 68, 2, cool
1696136641, 73, 68, 2, cool
1696136761, 73, 68, 2, cool
1696136881, 72.5, 68, 2, cool
1696137001, 72.5, 68, 2, cool
1696137121, 72.5, 68, 2, cool
1696137241, 72.5, 68, 2, cool
1696137361, 72.5, 68, 2, cool
1696137481, 72.5, 68, 2, cool
1696137601, 72.5, 68, 2, cool
1696137721, 72.5, 68, 2, cool
1696137841, 72.5, 68, 2, cool
1696137961, 72.5, 68, 2, cool
1696138081, 72.5, 68, 2, cool
1696138201, 72.5, 68, 2, cool
1696138321, 72.5, 68, 2, cool
1696138441, 72.5, 68, 2, cool
1696138561, 72.5, 68, 2, cool
1696138681, 72.5, 68, 2, cool
1696138801, 72.5, 68, 2, cool
1696138921, 72.5, 68, 2, cool
1696139041, 72.5, 68, 2, cool
1696139161, 72.5, 68, 2, cool
1696139281, 72.5, 68, 2, cool
1696139401, 72, 68, 2, cool
1696139521, 72, 68, 2, cool
1696139641, 72, 68, 2, cool
1696139761, 72, 68, 2, cool
1696139881, 72, 68, 2, cool
1696140001, 72, 68, 2, cool
1696140121, 72, 68, 2, cool
1696140241, 72, 68, 2, cool
1696140361, 72, 68, 2, cool
1696140481, 72, 68, 2, cool
1696140601, 72, 68, 2, cool
1696140721, 72, 68, 2, cool
1696140841, 72, 68, 2, cool
1696140961, 72, 68, 2, cool
1696141081, 72, 68, 2, cool
1696141201, 72, 68, 2, cool
1696141321, 72, 68, 2, cool
1696141441, 72, 68, 2, cool
1696141561, 72, 68, 2, cool
1696141681, 72, 68, 2, cool
1696141801, 72, 68, 2, cool
1696141921, 72, 68, 2, cool
1696142041, 72, 68, 2, cool
1696142161, 72, 68, 2, cool
1696142282, 72, 68, 2, cool
1696142401, 72, 68, 2, cool
1696142521, 72, 68, 2, cool
1696142641, 71.5, 68, 2, cool
1696142761, 71.5, 68, 2, cool
1696142881, 71.5, 68, 2, cool
1696143001, 71.5, 68, 2, cool
1696143121, 71.5, 68, 2, cool
1696143241, 71.5, 68, 2, cool
1696143361, 71.5, 68, 2, cool
1696143481, 71.5, 68, 2, cool
1696143601, 71.5, 68, 2, cool
1696143721, 71.5, 68, 2, cool
1696143841, 71.5, 68, 2, cool
1696143961, 71.5, 68, 2, cool
1696144562, 71.5, 68, 2, cool
1696144681, 71.5, 68, 2, cool
1696144801, 71, 68, 2, cool
1696144921, 71, 68, 2, cool
1696145041, 71, 68, 2, cool
1696145161, 71, 68, 2, cool
1696145281, 71, 68, 2, cool
1696145401, 71, 68, 2, cool
